"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","STM32_Blue_Pill_DevBoard","","","","PCM_SL_Development_Boards:STM32_Blue_Pill_DevBoard",""
"C1,C15,C16,C18,C19","5","100n","","","","Capacitor_THT:CP_Radial_Tantal_D5.5mm_P2.50mm",""
"C2","1","10u","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"F1","1","Fuse","","","","Fuse:Fuseholder_Clip-5x20mm_Littelfuse_445-030_Inline_P20.50x5.20mm_D1.30mm_Horizontal",""
"H1,H2,H3,H4","4","MountingHole_M3","","","","MountingHole:MountingHole_3.2mm_M3",""
"J1,J3,J5,J10,J11,J12,J13,J14,J15,J16,J17,J18,J23","13","Conn_01x01_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"J2,J4,J19,J22","4","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J6","1","Screw_Terminal_01x04","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm",""
"J7,J8,J9","3","AudioJack4","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"J20","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J21","1","Conn_01x02_Pin","","","","Connector_Molex:Molex_KK-396_5273-02A_1x02_P3.96mm_Vertical",""
"JP1,JP2,JP3,JP4,JP5,JP6","6","Jumper_2_Bridged","","","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm",""
"R6,R7,R8","3","33","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R9,R10","2","5k1","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R11,R12,R13","3","820k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R14,R17,R20","3","3.3k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R15,R16,R18,R19,R21,R22","6","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"RV1","1","Varistor","","","","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm",""
"TR1,TR2,TR3","3","ZMPT101B","","","","pps-lib:Transformer_Zeming_ZMPT101B","https://lcsc.com/datasheet/lcsc_datasheet_2504101957_ZHE-MING-LANG-XI-ZMPT101B_C111858.pdf"
"U1","1","HLK-5M05","","","","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-5Mxx","http://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%975W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%915W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V2.8.pdf"
"U2","1","ESP32-C3-SuperMini","","","","esp32-c3-supermini:ESP32-C3-SuperMini",""
"U3,U4,U5","3","MCP4131-xxxx-P","","","","Package_DIP:DIP-8_W7.62mm","https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/22060b.pdf"
"U6,U7","2","LMV324","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lmv324.pdf"
